cliente,projeto,sprint,duracao,retrabalho,score_eficiencia
CODECON,FISCALIZAÇÃO,10.0.0,14,0.0,125.0
SEDUR,FISCALIZAÇÃO,14.0.0,15,0.0,125.0
SEMED,SIE - CORUÍPE,26.0.0,18,0.0,109.0
SEDUR,LICENCIAMENTO DE EVENTOS,35.0.0,15,0.87,124.565
TRANSALVADOR,SISTEMA DE SINALIZAÇÃO,10.0.0,57,0.0,100.0
